Supplier,Sample,Cell Voltage (mV)
Cellex,1,642.768
Cellex,2,657.319
Cellex,3,664.052
Cellex,4,658.694
Cellex,5,642.644
Cellex,6,668.018
Cellex,7,668.017
Cellex,8,674.974
Cellex,9,660.433
Cellex,10,668.454
Cellex,11,663.503
Cellex,12,656.793
Cellex,13,664.105
Cellex,14,661.829
Cellex,15,663.431
Cellex,16,662.612
Cellex,17,632.103
Cellex,18,668.389
Cellex,19,675.571
Cellex,20,660.681
Cellex,21,660.831
Cellex,22,672.779
Cellex,23,674.869
Cellex,24,675.862
Cellex,25,658.332
Cellex,26,655.283
Cellex,27,668.714
