Supplier,Supplier-Sample,Cell Voltage (mV)
Hydrix,A-1,671.06
Hydrix,A-2,678.02
Hydrix,A-3,659.32
Hydrix,A-4,676.15
Hydrix,A-5,677.73
Hydrix,A-6,676.61
Hydrix,A-7,676.17
Hydrix,A-8,636.29
Hydrix,A-9,671.59
Hydrix,A-10,668.98
Hydrix,A-11,673.67
Hydrix,A-12,675.89
Hydrix,A-13,672.51
Hydrix,A-14,677.03
Hydrix,A-15,670.7
Hydrix,A-16,672.15
Hydrix,A-17,674.62
Hydrix,A-18,661
Hydrix,A-19,674.61
Hydrix,A-20,678.41
Hydrix,A-21,644.55
Hydrix,A-22,678.93
Hydrix,A-23,681.43
Hydrix,A-24,678.43
Hydrix,A-25,675.02
Hydrix,A-26,681.35
Hydrix,A-27,677.95
Hydrix,A-28,678.39
Hydrix,A-29,677.29
Hydrix,A-30,676.93
Hydrix,A-31,687.82
Hydrix,A-32,676.98
Hydrix,A-33,680.26
Hydrix,A-34,679.28
Hydrix,A-35,685.51
